timestamp,host,host_ip,user,source_ip,event_id,scenario_type,priority_label,mitre_technique,rule_level,failed_login_count,successful_login_count,same_source_ip_attempts,unique_users_targeted,distinct_hosts_accessed,hour_of_day,is_after_hours,is_remote_logon,logon_type,asset_criticality,event_4624,event_4625,event_4672,event_4688,event_5140,event_7045
2026-05-31 02:37:00,DC01,192.168.79.131,IT-PC01$,192.168.79.133,4624,normal_machine_auth,Low,Benign Activity,3,0,2,4,1,2,2,1,1,3,1.0,1,0,0,0,0,0
2026-05-18 19:20:00,FINANCE-PC01,192.168.79.132,charlie.it,192.168.79.132,4624,normal_logon,Low,Benign Activity,4,0,1,1,1,2,19,0,0,2,0.8,1,0,0,0,0,0
2026-05-04 15:19:00,DC01,192.168.79.131,bob.finance,192.168.79.132,4625,single_failed_login,Low,Benign Authentication Noise,5,1,0,3,1,1,15,0,0,2,1.0,0,1,0,0,0,0
2026-05-15 14:00:00,IT-PC01,192.168.79.133,charlie.it,192.168.79.133,4624,normal_logon,Low,Benign Activity,2,1,1,1,1,1,14,0,0,2,0.6,1,0,0,0,0,0
2026-05-12 21:06:00,FINANCE-PC01,192.168.79.132,charlie.it,192.168.79.132,4624,normal_logon,Low,Benign Activity,4,0,3,2,1,2,21,1,0,2,0.8,1,0,0,0,0,0
2026-05-30 11:13:00,DC01,192.168.79.131,alice.finance,192.168.79.132,4624,normal_client_activity,Low,Benign Activity,3,1,4,3,1,2,11,0,0,2,1.0,1,0,0,0,0,0
2026-05-02 08:36:00,DC01,192.168.79.131,bob.finance,192.168.79.132,4625,single_failed_login,Low,Benign Authentication Noise,5,2,0,2,1,1,8,0,0,2,1.0,0,1,0,0,0,0
2026-05-14 02:28:00,FINANCE-PC01,192.168.79.132,alice.finance,192.168.79.132,4624,odd_hour_normal_login,Low,Benign After-Hours Activity,4,1,2,1,1,1,2,1,1,3,0.8,1,0,0,0,0,0
2026-05-25 01:59:00,FINANCE-PC01,192.168.79.132,alice.finance,192.168.79.132,4624,odd_hour_normal_login,Low,Benign After-Hours Activity,5,1,1,1,1,1,1,1,0,2,0.8,1,0,0,0,0,0
2026-05-17 11:21:00,IT-PC01,192.168.79.133,Administrator,192.168.79.133,4624,benign_admin_maintenance,Low,Benign Administrative Maintenance,5,1,3,2,1,2,11,0,0,2,0.6,1,0,0,0,0,0
2026-05-27 13:55:00,DC01,192.168.79.131,FINANCE-PC01$,192.168.79.132,4624,normal_machine_auth,Low,Benign Activity,3,0,4,1,1,2,13,0,1,3,1.0,1,0,0,0,0,0
2026-05-11 20:04:00,DC01,192.168.79.131,dave.it,192.168.79.134,4625,targeted_brute_force,High,T1110.001 - Password Guessing,13,32,0,36,1,1,18,0,1,3,1.0,0,1,0,0,0,0
2026-05-02 07:18:00,IT-PC01,192.168.79.133,charlie.it,192.168.79.133,4624,normal_logon,Low,Benign Activity,2,0,3,1,1,2,7,0,0,2,0.6,1,0,0,0,0,0
2026-05-03 23:45:00,DC01,192.168.79.131,FINANCE-PC01$,192.168.79.132,4624,normal_machine_auth,Low,Benign Activity,3,0,3,1,1,2,23,1,1,3,1.0,1,0,0,0,0,0
2026-05-17 13:55:00,FINANCE-PC01,192.168.79.132,charlie.it,192.168.79.132,4624,normal_logon,Low,Benign Activity,3,1,3,1,1,1,13,0,0,2,0.8,1,0,0,0,0,0
2026-05-26 05:11:00,FINANCE-PC01,192.168.79.132,bob.finance,192.168.79.132,4624,normal_client_activity,Low,Benign Activity,3,0,4,2,1,1,5,1,0,2,0.8,1,0,0,0,0,0
2026-05-15 08:42:00,IT-PC01,192.168.79.133,charlie.it,192.168.79.133,4624,normal_logon,Low,Benign Activity,4,1,3,3,1,1,8,0,0,2,0.6,1,0,0,0,0,0
2026-05-02 15:30:00,IT-PC01,192.168.79.133,dave.it,192.168.79.133,4624,benign_remote_admin,Low,Benign Administrative Activity,5,1,1,2,1,2,15,0,0,2,0.6,1,0,0,0,0,0
2026-05-12 17:24:00,FINANCE-PC01,192.168.79.132,bob.finance,192.168.79.132,4624,normal_logon,Low,Benign Activity,3,0,1,2,1,2,17,0,0,2,0.8,1,0,0,0,0,0
2026-05-15 10:53:00,IT-PC01,192.168.79.133,charlie.it,192.168.79.133,4624,normal_logon,Low,Benign Activity,2,1,2,2,1,2,10,0,0,2,0.6,1,0,0,0,0,0
2026-05-15 05:09:00,DC01,192.168.79.131,DC01$,192.168.79.133,4624,normal_machine_auth,Low,Benign Activity,3,0,4,3,1,1,5,1,1,3,1.0,1,0,0,0,0,0
2026-05-10 06:39:00,IT-PC01,192.168.79.133,Administrator,192.168.79.133,4624,benign_remote_admin,Low,Benign Administrative Activity,4,1,1,1,1,2,6,1,0,2,0.6,1,0,0,0,0,0
2026-05-29 10:33:00,FINANCE-PC01,192.168.79.132,Administrator,192.168.79.133,4688,benign_admin_maintenance,Low,Benign Administrative Maintenance,4,1,1,2,1,2,10,0,0,2,0.8,0,0,0,1,0,0
2026-05-18 17:48:00,DC01,192.168.79.131,FINANCE-PC01$,192.168.79.133,4624,normal_machine_auth,Low,Benign Activity,2,0,3,4,1,1,17,0,1,3,1.0,1,0,0,0,0,0
2026-05-10 14:29:00,IT-PC01,192.168.79.133,alice.finance,192.168.79.133,4624,normal_logon,Low,Benign Activity,3,1,3,2,1,2,14,0,0,2,0.6,1,0,0,0,0,0
2026-05-14 09:44:00,DC01,192.168.79.131,IT-PC01$,192.168.79.132,4624,normal_machine_auth,Low,Benign Activity,2,0,4,1,1,2,9,0,1,3,1.0,1,0,0,0,0,0
2026-05-08 05:50:00,IT-PC01,192.168.79.133,charlie.it,192.168.79.133,4624,odd_hour_normal_login,Low,Benign After-Hours Activity,4,1,1,2,1,1,5,1,0,2,0.6,1,0,0,0,0,0
2026-05-17 03:17:00,IT-PC01,192.168.79.133,Administrator,192.168.79.133,4624,benign_remote_admin,Low,Benign Administrative Activity,6,1,1,2,1,2,3,1,0,2,0.6,1,0,0,0,0,0
2026-05-12 02:50:00,FINANCE-PC01,192.168.79.132,bob.finance,192.168.79.132,4624,odd_hour_normal_login,Low,Benign After-Hours Activity,5,0,1,1,1,1,2,1,0,2,0.8,1,0,0,0,0,0
2026-05-16 08:56:00,IT-PC01,192.168.79.133,alice.finance,192.168.79.133,4624,normal_logon,Low,Benign Activity,4,1,3,2,1,1,8,0,0,2,0.6,1,0,0,0,0,0
2026-05-03 18:09:00,DC01,192.168.79.131,bob.finance,192.168.79.134,4625,targeted_brute_force,High,T1110.001 - Password Guessing,11,33,0,44,1,2,1,1,1,3,1.0,0,1,0,0,0,0
2026-05-17 09:56:00,IT-PC01,192.168.79.133,charlie.it,192.168.79.133,4688,normal_client_activity,Low,Benign Activity,3,0,4,3,1,2,9,0,1,3,0.6,0,0,0,1,0,0
2026-05-17 02:30:00,IT-PC01,192.168.79.133,charlie.it,192.168.79.133,4624,odd_hour_normal_login,Low,Benign After-Hours Activity,4,0,2,2,1,1,2,1,1,3,0.6,1,0,0,0,0,0
2026-05-06 08:43:00,FINANCE-PC01,192.168.79.132,bob.finance,192.168.79.132,4624,normal_client_activity,Low,Benign Activity,4,0,2,1,1,2,8,0,0,2,0.8,1,0,0,0,0,0
2026-05-12 04:11:00,DC01,192.168.79.131,IT-PC01$,192.168.79.132,4624,normal_machine_auth,Low,Benign Activity,2,0,3,3,1,2,4,1,1,3,1.0,1,0,0,0,0,0
2026-05-23 04:50:00,DC01,192.168.79.131,bob.finance,192.168.79.132,4624,normal_client_activity,Low,Benign Activity,4,0,3,1,1,2,4,1,0,2,1.0,1,0,0,0,0,0
2026-05-03 03:44:00,FINANCE-PC01,192.168.79.132,alice.finance,192.168.79.132,4624,normal_logon,Low,Benign Activity,3,1,2,2,1,2,3,1,1,3,0.8,1,0,0,0,0,0
2026-05-02 08:02:00,FINANCE-PC01,192.168.79.132,bob.finance,192.168.79.132,4624,normal_client_activity,Low,Benign Activity,3,0,3,1,1,2,8,0,1,3,0.8,1,0,0,0,0,0
2026-05-10 05:00:00,DC01,192.168.79.131,DC01$,192.168.79.132,4624,normal_machine_auth,Low,Benign Activity,3,0,2,1,1,1,5,1,1,3,1.0,1,0,0,0,0,0
2026-05-22 05:56:00,DC01,192.168.79.131,bob.finance,192.168.79.133,4624,odd_hour_normal_login,Low,Benign After-Hours Activity,5,0,2,3,1,1,5,1,1,3,1.0,1,0,0,0,0,0
2026-05-03 21:40:00,DC01,192.168.79.131,alice.finance,192.168.79.134,4625,targeted_brute_force,High,T1110.001 - Password Guessing,10,44,1,34,1,2,13,0,1,3,1.0,0,1,0,0,0,0
