@timestamp,timestamp,host,host_ip,user,source_ip,event_id,scenario_type,mitre_technique,rule_level,failed_login_count,successful_login_count,same_source_ip_attempts,unique_users_targeted,distinct_hosts_accessed,hour_of_day,is_after_hours,is_remote_logon,logon_type,asset_criticality,raw_anomaly_score,anomaly_score,ml_prediction,ml_priority_output,behavioral_context_score,risk_score,priority_output
2026-05-31T02:37:00,2026-05-31T02:37:00,DC01,192.168.79.131,IT-PC01$,192.168.79.133,4624,normal_machine_auth,Benign Activity,3,0,2,4,1,2,2,1,1,3,1.0,-0.08179513309394526,0.298417884273802,Normal,Low,0.17,0.39486715370952086,Low
2026-05-18T19:20:00,2026-05-18T19:20:00,FINANCE-PC01,192.168.79.132,charlie.it,192.168.79.132,4624,normal_logon,Benign Activity,4,0,1,1,1,2,19,0,0,2,0.8,-0.09018496713760615,0.26165446376524837,Normal,Low,0.0,0.3313284521727661,Low
2026-05-04T15:19:00,2026-05-04T15:19:00,DC01,192.168.79.131,bob.finance,192.168.79.132,4625,single_failed_login,Benign Authentication Noise,5,1,0,3,1,1,15,0,1,3,1.0,-0.062060202703493106,0.38489439154147687,Normal,Low,0.1,0.4522910899499241,Low
2026-05-15T14:00:00,2026-05-15T14:00:00,IT-PC01,192.168.79.133,charlie.it,192.168.79.133,4624,normal_logon,Benign Activity,2,1,1,1,1,1,14,0,0,2,0.6,-0.07890058838636382,0.31110149204385407,Normal,Low,0.0,0.2777739301508749,Low
2026-05-12T21:06:00,2026-05-12T21:06:00,FINANCE-PC01,192.168.79.132,charlie.it,192.168.79.132,4624,normal_logon,Benign Activity,4,0,3,2,1,2,21,1,0,2,0.8,-0.09894679214036911,0.22326101577537852,Normal,Low,0.07,0.3264710729768181,Low
2026-05-30T11:13:00,2026-05-30T11:13:00,DC01,192.168.79.131,alice.finance,192.168.79.132,4624,normal_client_activity,Benign Activity,3,1,4,3,1,2,11,0,0,2,1.0,-0.051845124121597475,0.4296558525524842,Normal,Low,0.0,0.4218623410209937,Low
2026-05-02T08:36:00,2026-05-02T08:36:00,DC01,192.168.79.131,bob.finance,192.168.79.132,4625,single_failed_login,Benign Authentication Noise,5,2,0,2,1,1,8,0,1,3,1.0,-0.06600909347831774,0.3675907438957983,Normal,Low,0.1,0.4453696308916527,Low
2026-05-14T02:28:00,2026-05-14T02:28:00,FINANCE-PC01,192.168.79.132,alice.finance,192.168.79.132,4624,odd_hour_normal_login,Benign After-Hours Activity,4,1,2,1,1,1,2,1,1,3,0.8,-0.11228886064214705,0.16479739513256048,Normal,Low,0.17,0.31808562471969093,Low
2026-05-25T01:59:00,2026-05-25T01:59:00,FINANCE-PC01,192.168.79.132,alice.finance,192.168.79.132,4624,odd_hour_normal_login,Benign After-Hours Activity,5,1,1,1,1,1,1,1,0,2,0.8,-0.07703966942813112,0.31925585431583964,Normal,Low,0.07,0.38153567505966923,Low
2026-05-17T11:21:00,2026-05-17T11:21:00,IT-PC01,192.168.79.133,Administrator,192.168.79.133,4624,benign_admin_maintenance,Benign Administrative Maintenance,5,1,3,2,1,2,11,0,1,3,0.6,-0.09244148879837011,0.2517666096945227,Normal,Low,0.1,0.3190399772111424,Low
